"做賊盜黃連","自討苦吃"
"做賊的不用化裝 ","賊眉賊眼"
"做賊的說夢話","想偷"
"做賊碰上劫路人","壞到一塊瞭；冤傢路窄"
"做磚的坯子、插刀的鞘子","框框套套"
"一把粉打在後頸窩","釉子上反瞭"
"梆子改木魚","這個挨敲的貨"
"中鞦節賞桂花","花好月圓"
"中鞦節的月亮","光明正大"
"中鞦過瞭閏八月","團圓過瞭又團圓"
"中鞦的天氣","不冷不熱"
"閻王的爺爺","老鬼"
"瞎子拉琴","瞎扯"
"牆頭上跑馬","不迴頭的畜牲"
"猴子拉稀","壞瞭腸子瞭"
"跌在竹園裏","該扡(韆)死"
"強盜畫影象","就你那副賊形"
"貓兒攀倒甑","狗得福"
"雪地畫梅","狗腳闆"
"菩薩的胸懷","沒有心肝"
"望江亭上度中鞦","近水樓颱先得月"
"關公降曹操","身在曹營心在漢"
"鵝卵石壘牆腳","根基不穩"
"鵝卵石掉醬缸","一個糊塗蛋"
"鵝蛋換鴨蛋","不上算；不閤算"
"鵝吃草，鴨吃榖","各人享各人福"
"閻王齣告示","鬼話連篇"
"望鄉颱上高歌","不知死的鬼"
"鐵匠鋪的料","挨打的貨"
"高梁撒在粟地裏","雜種"
"看見菩薩屙屎","講鬼話"
"看衣服行事","狗眼看人"
"種地不齣苗","壞種"
"屎殼郎打哈欠","一張臭嘴"
"狗咬皮影子","沒一點人味"
"狗打噴涕","三日晴"
"茅房裏打燈籠","照屎(找死)"
"茅廁裏題詩","臭秀纔"
"範進中舉","喜瘋瞭"
"披著狗皮","不是人"
"孝弟忠信禮義謙","無恥"
"豆豉口袋","臭東西"
"後背梁長瘡骨臍眼流膿","壞透瞭"
"肉鍋裏煮湯圓","葷(昏)蛋"
"肉骨頭敲鼓","葷(昏)都 都"
"吊死鬼打粉插花","死不要臉"
"陰間齣賞格","尋鬼"
"芝麻地裏撒黃豆","雜種"
"灰堆裏燒山藥","都是些灰(混)蛋"
"老虎拖蓑衣","無人氣"
"石頭放在雞窩裏","混蛋"
"東嶽廟裏二鬍","鬼扯"
"頭頂上長瘡，腳底下化膿","壞透瞭"
"牛屎蟲搬傢","滾蛋"
"五百錢分兩下","二百五"
"天落饅頭","狗造化"
"元宵滾進鍋裏","混蛋一個"
"天上落豆渣","該豬吃"
"土地老爺挖瞭眼","瞎鬼"
"三伏天賣不掉的肉","臭貨"
"大車拉王八","載你"
"大姑娘養的","醜東西"
"三年不屙屎","糞脹(混帳)"
"三年不洗口","一張臭嘴"
"狼也跑瞭，羊也保瞭","兩全其美。"
"滿上跑的兔子不迴傢","野慣瞭。"
"老子偷瓜兒盜果，老子殺人兒放火","一輩更比一輩壞。"
"拉屎啃雞腿","虧他張得開口。"
"苦瓜樹上結黃連","一個更比一個苦。"
"瞌睡遇到枕頭","求之不得。"
"考上秀纔盼當官","欲無止境。"
"看天說話","眼光太高。"
"九月的甘蔗","甜到心。"
"井裏的吊桶","任人擺布。"
"井底下寫文章","學問不淺。"
"叫花子唱歌","假快活。"
"急驚瘋碰著個慢郎中","乾著急。"
"黃豆切細絲","功夫到傢瞭。"
"葫蘆瓢撈餃子","滴水不漏。"
"虎口拔牙","膽子不小。"
"候車室裏的掛鍾","群眾(眾人)觀點。"
"和尚挖牆洞","妙(廟)透瞭。"
"寒山寺的大鍾","搬不動。"
"棺材鋪的生意","賺死錢。"
"寡婦打孩子","捨不得。"
"剛齣爐的鐵","心地純正。"
"趕廟的失孩子","活丟人"
"斷柄鋤頭","沒把握。"
"渡船過河","劃得來。"
"賭徒的嘴巴","盡說到點子上。"
"毒蛇鑽進竹筒裏","假裝正直。"
"兜裏的錢，鍋裏的肉","跑不瞭。"
"鼕天火爐夏天扇","用得上。"
"鼕天的大蔥","皮乾葉爛心不死。"
"帶著存摺進棺材","死要錢。"
"冰塊掉進醋缸裏","寒酸。"
"抱黃連敲門","苦到傢瞭。"
"打發閨女，娶兒媳","兩頭忙。"
"搭棚子賣綉花針","買賣不大，架子不小。"
"八百年前立的杆","老光棍。"
"廚房裏的燈","常常受氣。"
"吃魚不吐骨頭","說話帶刺。"
"鞭炮兩頭點","想(響)到一塊瞭。"
"鋼絲穿豆腐","彆提瞭。"
"飯桌上的抹布","嘗盡瞭酸甜苦辣。"
"擀麵杖作筷，盆作杯","大吃大喝。"
"東扯葫蘆西扯瓢","故意找茬兒。"
"雕像匠不給神像扣頭","知道老底。"
"到手的肥肉換骨頭","心不甘。"
"刀砍大海水","難捨難分。"
"吃飽瞭溜大圈","撐的瞭。"
"糞堆上開花","臭美。"
"背著娃娃推磨","添人不添勁"
"蒼蠅叮菩薩","沒人味。"
"口袋裏裝釘子","個個想齣頭。"
"吃菠蘿問酸甜","明知故問。"
"看見嶽父不搭腔","有眼不識泰山。"
"吃曹操的飯乾劉備的事","吃裏爬外"
"周瑜病倒在蘆花蕩","氣煞"
"關帝廟裏找美髯公","篤定"
"孔明彈琴退仲達","臨危不亂"
"關公麵前耍大刀","自不量力"
"趙雲大戰長阪坡","大顯神威"
"諸葛亮舌戰群儒","全靠一張嘴"
"諸葛亮焚香操琴","故弄玄虛"
"魯肅上瞭孔明船","糊裏糊塗"
"隔門縫瞧諸葛亮","瞧扁瞭英雄"
"孔明草船藉箭","有藉無還"
"劉備三顧茅廬","好難請"
"關羽颳骨療毒","無痛苦之色"
"司馬炎廢魏主","襲用老譜"
"諸葛亮玩狗","聰明一世糊塗一時"
"呂布戲貂蟬","英雄難過美人關"
"煮豆燃豆萁","自傢人整自傢人"
"周瑜謀荊州","陪瞭夫人又摺兵"
"張飛捉螞蚱","有勁使不上"
"看三國掉淚","替古人擔憂"
"孔明的錦囊","用不完的計"
"張飛賣豆腐","人強貨不硬"
"黃忠交朋友","人老心不老"
"孔明用空城計","迫不得已"
"關羽流鼻血","紅上加紅"
"龐統當知縣","大材小用"
"黃忠掄大錘","老當益壯"
"張飛耍杠子","輕而易舉"
"孔明皺眉頭","計上心頭"
"關羽做木匠","大刀闊斧"
"司馬誇諸葛","甘拜下風"
"關羽守嫂嫂","情誼為重"
"關羽開刀鋪","貨真價實"
"關羽進皇宮","單刀直入"
"張飛賣秤砣","人強貨硬"
"張飛戰馬超","不分勝負"
"關羽走麥城","末日來臨"
"張飛戰關羽","忘瞭舊情"
"關羽打噴嚏","自我吹噓"
"關雲長放屁","不知臉紅"
"曹操下宛城","大敗而逃"
"徐庶進曹營","一言不發"
"張飛擺屠案","凶神惡煞"
"張飛吃秤砣","鐵瞭心"
"猛張飛舞刀","殺氣騰騰"
"許褚鬥馬超","赤膊上陣"
"趙子龍齣兵","迴迴勝"
"關羽開鳳眼","要殺人"
"張飛戴口罩","顯大眼"
"張飛拆橋","有勇無謀"
"關羽赴宴","有膽有魄"
"阿鬥當官","有名無實"
"張飛上陣","橫衝直撞"
"殺關羽","嫁禍於人"
"孔明練琴","老生常談"
"張飛討債","聲勢凶"
"黃忠射箭","百發百中"
"張飛睡覺","不閉眼"
"黃忠叫陣","不服老"
"曹操用人","唯纔是舉"
"曹操轉胎","疑心重"
"坐飛機吹喇叭","唱高調"
"豬八戒進瞭女兒國","不想走瞭"
"芝麻開花","節節高"
"丈二的和尚","摸不著頭腦"
"早開的紅梅","一枝獨秀"
"嶽飛背刺字","精忠報國"
"一頓能吃三升米","肚量大"
"啞巴打官司","有口難言"
"下雪天穿裙子","美麗動(凍)人"
"頭頂生瘡，腳底流膿","壞透瞭"
"天文颱上的望遠鏡","好高騖遠"
"四兩棉花","免談(彈)"
"泥菩薩過河","自身難保"
"門縫裏看人","把人看扁瞭"
"貓哭耗子","假慈悲"
"盧溝橋上的獅子","數不清"
"老太婆開瞭口","一望無涯(牙)"
"抓把兔子草喂駱駝","不是好料"
"鷹嘴裏奪兔，貓嘴裏奪魚","難下手；下不瞭手；無法下手"
"鷹飽不抓兔，兔飽不齣窩","懶對懶"
"野地裏攆兔子","誰逮住就屬誰"
"羊群裏跑齣個小兔子","野種"
"下雪天打兔子","白跑"
"瞎狗逮兔子","碰到嘴上"
"武鬆打兔子","英雄無用武之地"
"喂兔養羊","本小利長"
"兔子坐上虎皮椅","六神無主"
"兔子枕著獵槍睡","膽大包天"
"兔子宴請老虎","寅吃卯糧"
"兔子下兒","與眾不同"
"兔子尾巴","長不瞭"
"兔子生耗子","一窩不如一窩"
"老奶奶吃稀飯","無恥(齒)下流"
"孔夫子的硯颱","心太黑"
"開封府的包公","鐵麵無私"
"黃鼠狼給雞拜年","沒安好心"
"好泥巴打好竈","好心討不到好報"
"韓信點兵","多多益善"
"滾油鍋裏撒瞭一把鹽","炸開瞭"
"蛤蟆跳井","不懂(撲通)"
"糞坑裏的石頭","又臭又硬"
"鼕水田裏種麥子","怪栽(哉)"
"滴水石穿","非一日之功"
"燈盞油乾","火燒芯(心)"
"打破沙鍋","問到底"
"打翻瞭五味瓶","酸甜苦辣鹹，樣樣有"
"朝著窗外吹喇叭","名(鳴)聲在外"
"茶壺裏煮餃子","有貨倒不齣"
"兔子群裏一隻虎","龐然大物"
"兔子跑到磨坊裏","假充大尾巴驢"
"兔子滿山跑","還來歸舊窩"
"兔子拉犁耙","力不能及；心有餘而力不足；無能為力"
"兔子拉車","不懂那一套；又蹦又跳；連蹦帶跳"
"兔子靠腿狼靠牙","各有各的謀生法"
"死諸葛嚇退活仲達","生不如死"
"半路殺齣一個程咬金","突如其來"
"蒸籠裏的饅頭","自高自大"
"棋盤上的卒子","隻能進，不能退"
"熱鍋上的螞蟻","走投無路"
"燒香趕齣和尚","喧賓奪主"
"蚊子叮雞蛋","無孔不入"
"兔子進磨道","充什麼大耳朵驢"
"兔子叫門","送上門的肉"
"兔子見瞭鷹","毛瞭"
"兔子駕轅牛打套","亂瞭套；亂套瞭"
"兔子駕轅馬拉車","亂瞭套"
"兔子駕轅","不閤套"
"兔子構厥子","沒後勁"
"兔子跟著馬兒跑","望塵莫及"
"兔子逗老鷹","惹禍上身；自取其禍；沒事找事"
"兔子的耳朵","靈得很"
"兔子戴夾闆","充大耳朵驢"
"兔子打架","小打小鬧；上躥下跳"
"兔子吃年糕","悶瞭口"
"兔子成精","比老虎還厲害"
"兔子剝皮","倒扒"
"兔子逼急瞭","還會咬人哩"
"兔子蹦到車轅上","假充大把勢(車把勢。趕大車的人)"
"兔子扒窩","安傢落戶"
"兔死還要跳三跳","垂死掙紮"
"兔死狐悲","物傷其類"
"兔兒爺拍胸口","沒心沒肝"
"兔兒爺過河","軟癱瞭"
"兔兒爺打架","散攤子"
"兔兒爺(兔頭人身的泥塑玩具)打架","散攤瞭"
"茶鋪裏的水","滾開"
"南天門的燈籠","照得高"
"眉毛鬍子一把抓","不分主次"
"啞巴吃黃連","有苦無處訴"
"砧闆上的肉","任人宰割"
"夜裏的風雨","下落不明"
"泥菩薩的眼睛","有珠無光"
"紙糊的燈籠","一戳就穿"
"尾巴上綁蘆葦","假充大公雞"
"針尖對麥芒","針鋒相對"
"沒眼的笛子","吹不晌"
"沒有根的浮萍","無依無靠"
"沙漠裏的鴕鳥","顧頭不顧尾"
"竈颱上的抹布","揩油"
"床底下竹筍","長不高"
"佛爺的桌子","碰不得"
"禿子頭上的虱子","明擺著"
"旱地的螺螄","有口難開"
"花生的殼，大蔥的皮","一管管一層"
"豆腐拌腐乳","越拌越糊塗"
"竹籃子打水","一場空"
"紅藍鉛筆","兩頭挨刀"
"陰溝裏的水","拎也拎不清"
"燈籠殼子","外頭好看裏頭空"
"肉案上的買賣","斤斤計較"
"老和尚的木魚","生來就挨揍"
"老鼠鑽進風箱裏","兩頭受氣"
"老太太住高樓","上下兩難"
"四海龍王動刀兵","裏裏外外都是水"
"半空裏的火把","高明"
"鼕天的扇子","沒人喜歡"
"古廟裏的旗幟","獨一無二"
"去年的皇曆","不中用"
"打半邊鼓","旁敲側擊"
"龍王爺亮相","張牙舞爪"
"石頭上種蔥","白費勁"
"孔夫子唱戲","齣口成章"
"水底撈月，天上摘星","想到做不到"
"以卵擊石","自不量力"
"六月裏戴皮帽","硬套"
"六十歲吹鼓手","趕時髦"
"風吹牆頭草","兩邊倒"
"月亮底下點燈籠","多此一舉"
"烏龜找甲魚","正是一路貨"
"切菜刀剃頭","危險"
"木闆上釘釘","個個算數"
"王婆賣瓜","自賣自誇"
"王小二過年","一年不如一年"
"王八吃秤砣","鐵瞭心"
"兔兒頭，老鼠尾","不倫不類"
"套馬杆子逮兔子","瞎鬍鬧"
"三眼槍打兔子","沒準兒"
"青蛙望玉兔","有天地之彆"
"敲鑼攆兔子","起哄"
"騎兔子拜年","寒磣"
"鳥槍打兔子","睜隻眼，閉隻眼"
"滿山跑的兔子不迴窩","野慣瞭"
"摟草打兔子","捎帶活"
"癩蛤蟆追兔子","一步跟不上，步步跟不上；一步趕不上，步步都緊張"
"開著拖拉機攆兔子","有勁使不上(比喻有本事、才能，但因條件所限施展不開。)"
"扣在籠子裏的兔子","亂撞亂碰；擠擠撞撞"
"飛機上聊天","空談"
"飛機上吊蟹","懸空八隻腳"
"馬尾巴串豆腐","提不起；彆提瞭"
"公雞尾巴","翹得高"
"太歲頭上的土","動不得"
"井底的蛤蟆","見識少"
"開瞭瓶的燒酒","好衝"
"小偷進牧場","順手牽羊"
"口裏含冰糖","嘴甜"
"山洞的老鼠","東張西望"
"山西騾子學驢叫","南腔北調"
"上天摘星星","異想天開"
"下雪天過獨木橋","提心吊膽"
"下雨天背稻草","越背越重"
"下雨天打麥子","難收場"
"大象屁股","推不動"
"大姑娘坐花轎","頭一遭"
"大鬆樹作燒火柴","大材小用"
"三隻腳的闆凳","不穩"
"三人兩根須","稀少"
"九麯橋上散步","走彎路"
"九月裏的甘蔗","甜到心"
"開春的兔子","成群結夥"
"進網的兔子上鈎舶魚","十拿九穩"
"見瞭兔子纔放鷹","有利纔齣徵(比喻對自己沒利的事不乾。)"
"機關槍打兔子","小題大做"
"懷裏揣著十五隻兔子","七上八下"
"懷揣兔子","忐忑"
"八十歲學吹打","齣息不大"
"八月的石榴","滿腦袋點子"
"七個錢對半分","不三不四"
"十五隻吊桶打水","七上八下"
"二十一天孵不齣小雞","壞蛋"
"二鍋頭的瓶子","嘴緊"
"一粒老鼠糞","搞壞一鍋湯"
"一盤象棋下兩天","棋逢對手"
"一肚子加減乘除","心中有數"
"一個教師一路拳","各有各的打法"
"高山上打鑼","四方聞名(鳴)"
"唐僧念經","一本正(真)經"
"保溫瓶的塞子","賭(堵)氣"
"旗杆上掛剪刀","高纔(裁)"
"碗底的豆子","曆曆(粒粒)在目"
"響鼓不用重錘","一點就明(鳴)"
"鹹菜煮豆腐","不必多言(鹽)"
"草把作燈","粗心(芯)"
"空棺材齣喪","目(木)中無人"
"和尚打傘","無法(發)無天"
"肚子裏撐船","內行(航)"
"壽星彈琵琶","老生常談(彈)"
"燈草做拐杖","做不得主(拄)"
"年初一吃酒釀","頭一遭(糟)"
"竹林裏栽柏樹","親(青)上加親(青l"
"老蜘蛛的肚子","淨是私(絲)"
"老鼠跳到琴上","亂談(彈)"
"對著窗戶吹喇叭","名(鳴)聲在外"
"電綫杆上插雞毛","好大的膽(撣)子"
"打破砂鍋","問(紋)到底"
"狐狸哭兔子","假慈悲；假慈善"
"猴子笑兔子尾巴短","彼此彼此；彼此一樣"
"高粱地裏放鳥槍","打發兔子起瞭身"
"餓狼撲兔子","抓住不放"
"丟瞭黃牛攆兔子","不知哪大哪小"
"逮瞭兔子死瞭鷹","得不償失"
"大年三十晚上打兔子","有你不多，沒你不少"
"大年初一逮兔子","有它過年，無它也過年(比喻微不足多，增減都不影響大局。)"
"打著兔子跑瞭馬","得不償失"
"打兔子捉到黃羊","撈外快；格外"
"打瞭兔子喂鷹","好處給瞭惡人"
"穿兔子鞋的","跑得快"
"草堆裏蹦齣個兔子","你也算個保鏢"
"不倒翁騎兔子","沒個老實勁兒"
"八月十五捉兔子","有你過節，無你也過節(比喻有沒有無關大局。)"
"正月十五踩高蹺","半截不是人"
"正月十五看花燈","走著瞧"
"正月十五貼門神","晚瞭半個月"
"大年初一見麵","都說吉利話"
"大年初一不上供","沒神"
"三十晚上煮稀飯","不像過年的架勢"
"大門上的春聯","一定成對"
"竈王爺上天","多說好話"
"石頭蛋子醃鹹菜","一言(鹽)難盡(進)"
"孔夫子的口袋","書呆(袋)子"
"六七八九","沒食(十)"
"月下提燈","虛掛名(明)"
"瓦匠的雙手","多疑(泥)"
"藕炒黃豆","鑽空(孔)子"
"嘴上塗石灰","白說(刷)"
"木排下水","不成(沉)"
"夫子的徒弟","閑(賢)人"
"雲彩上點燈","空掛名(明)"
"山林中燒火","就地取材(柴)"
"丈八的竈颱","高照(竈)"
"大鬍子","難題(剃)"
"大麥去瞭皮","白人(仁)"
"大公雞鬧嗓子","彆提(啼)瞭"
"下雨齣太陽","假情(晴)"
"下雨不打傘","臨(淋)到頭上瞭"
"下巴底下支小鍋","吵(炒)嘴哩"
"七十歲配眼鏡","老話(花)"
"十月的蘿蔔","動(凍)瞭心"
"二兩棉花打絮","談(彈)不上"
"一跤跌在青雲裏","交好運(雲)"
"一根麥稈打鼓","不想(響)"
"一串錢九百九","不成調(吊)兒"
"一個墨鬥彈齣兩樣綫","思(絲)路不對"
"一個耳朵大，一個耳朵小","豬狗養的"
"一群太監開會","無稽(J)之談"
"小母牛坐蒸籠","吹牛Ｂ"
"屬竈王爺的","誰傢鍋颱都上"
"周瑜打黃蓋","兩相情願"
"關公赴會","單刀直入(比喻直截瞭當，不繞彎子) 、"
"周瑜打黃蓋","裝樣子"
"關公進曹營","單刀直入"
"周瑜打黃蓋","一個願打，一個願挨"
"董卓進京","不懷好意"
"董卓進京","來者不善"
"關勝戰李逵","大刀闊斧"
"吃曹操的飯，想劉備的事","人在心不在"
"關帝廟裏掛觀音像","名不符實"
"關帝廟裏拜觀音","找錯瞭門"
"周瑜討荊州","費力不討好"
"諸葛亮當軍師","名副其實"
"關帝廟夫人","慌瞭神"
"司馬懿破八卦陣","不懂裝懂"
"諸葛亮唱空城計","沒辦法"
"張飛使計謀","粗中有細"
"曹操吃雞肋","食之無味，棄之可惜"
"諸葛亮徵孟獲","收收放放"
"張飛扔雞毛","有勁難使"
"曹操下江南","來得凶，敗得慘"
"駑馬戀棧豆","必不能用也"
"關雲長走麥城","大難臨頭"
"東吳招親","弄假成真"
"諸葛亮用空城計","不得已"
"關公喝酒","不怕臉紅"
"諸葛亮吊孝","不是真心"
"關公照鏡子","自覺臉紅"
"諸葛亮吊孝","裝模作樣"
"關公射黃忠","手下留情"
"諸葛亮草船藉箭","有把握"
"關帝廟求子","踏錯瞭門"
"對著張飛罵劉備","找氣惹"
"諸葛亮草船藉箭","用的是疑兵計"
"關雲長賣豆腐","人硬貨不硬"
"貂蟬唱歌","有聲有色"
"草船藉箭","滿載而歸"
"關羽賣肉","沒人敢來"
"董卓戲貂蟬","死在花下"
"草船藉箭","坐享其成"
"關公開鳳眼","要殺人"
"草船藉箭","多多益善"
"張飛穿針","大眼瞪小眼"
"諸葛亮隆中對策","有先見之明"
"張飛穿針","粗中有細"
"曹操諸葛亮","脾氣不一樣(比喻人不同，性格也不相同)"
"諸葛亮的錦囊","神機妙算"
"張飛綉花","粗中有細"
"曹操敗走華容道","走對瞭路子"
"諸葛亮用兵","神齣鬼沒"
"張飛抓耪子","大眼瞪小眼"
"曹操敗走華容道","不齣所料"
"諸葛亮招親","纔重於貌"
"張飛媽媽姓吳","無事(吳氏)生非"
"曹操殺呂伯奢","將錯就錯"
"諸葛亮要醜妻","為事業著想"
"張飛吃豆芽","一盤小萊"
"曹操戰宛城","大敗而逃"
"諸葛亮揮淚斬馬謖","顧全大局"
"張飛戰關公","忘瞭舊情"
"曹操用計","又奸又滑"
"諸葛亮藉箭","有藉無還"
"張飛賣肉","光說不割"
"曹操殺華佗","諱疾忌醫"
"諸葛亮三氣周瑜","略施小技"
"張飛賣秤錘","人強貨硬"
"曹操作事","乾乾淨淨"
"諸葛亮的鵝毛扇","神妙莫測"
"張飛販私鹽","誰敢檢查"
"諸葛亮彈琴","計上心來"
"一隻熊走過來"," 有備而來(有bear來)"
"一隻蜜蜂叮在掛曆上","風(蜂)和日麗(日曆)"
"一條狗過瞭獨木橋之後就不叫瞭"," 過目不忘(汪)"
"春哥敲門","蠢(春)到傢瞭"
"小母牛迎風坐高壓綫","牛逼拉轟帶閃電"
"掩目而捕燕雀","是自欺也"
"雪獅子嚮火","酥瞭半邊"
"佛麵上去颳金","刻薄"
"割貓兒尾拌貓兒飯","自供自"
"一佛齣世，二佛涅磐","死去活來"
"燈蛾撲火","惹焰燒身"
"孫武子教女兵","十捉九著"
"馬蹄刀木勺裏切菜","水泄不露"
"花木瓜","空好看"
"閻羅王麵前","沒放迴的鬼"
"甕中捉鱉","手到拿來"
"賊去瞭關門","遲瞭"
"皮肉粗糙，骨骼堅強","各有一得可取"
"三錢銀子買個毛驢","自誇騎得"
"蒼蠅包網兒","好大麵皮"
"販古董的","識貨"
"和尚拖木頭","做齣瞭寺"
"大海裏翻瞭豆腐船","湯裏來，水裏去"
"堂屋裏掛獸皮","不象畫(話)"
"有大哥有二弟","你算老幾"
"屎殼郎趴在鞭梢上","光知道騰雲駕霧，不知道死在眼前"
"放屁砸坑","造窯(謠)"
"一群文盲玩勁舞團","聞雞起舞"
"趕著王母娘娘叫大姑","想沾點仙氣"
"80歲老太太踢毽子","蓋中蓋"
"老肥豬上屠","挨刀的貨"
"都上廁所去瞭吧","誰信啊"
"春哥上貓撲","遍地菊花開"
"趕著草泥馬過火焰山","往死裏逼"
"尿尿對旗杆","充(衝)棍"
"偷爸媽的TT","裝孫子"
"女人生孩子","血口噴人"
"三角墳地","缺德"
"鐵刷帚刷銅鍋","傢傢挺硬"
"狗咬尿泡","空歡喜"
"吃瞭磨刀水的","秀氣在內"
"尖擔擔柴","兩頭脫"
"磨磚砌的喉嚨","又光又溜"
"糟鼻子不吃酒","枉擔其名"
"皮笊籬","一撈個罄盡"
"乍入蘆芋","不知深淺"
"蛇頭上蒼蠅","自來的衣食"
"焦瞭尾巴稍子","絕後"
"含著骨頭露著肉","吞吞吐吐"
"羊群裏跑齣駱駝來瞭","就隻你大"
"可著頭做帽子","要一點富餘也不能"
"小蔥拌豆腐","清的清白的白"
"鋸瞭嘴子的葫蘆","沒口齒"
"頂梁骨走瞭真魂","嚇得要命"
"耗子尾巴上長瘡","多少膿血兒"
"見提著影戲人子上場","好歹彆戳破這層紙"
"倉老鼠和老鴰去藉糧","守著的沒有，飛著的有"
"聾子放炮仗","散瞭"
"黃柏木作磐槌子","外頭體麵裏頭苦"
"狀元痘兒灌的漿兒","又滿是喜事"
"宋徽宗的鷹，趙子昂的馬","都是好畫兒"
"九國販駱駝的","到處兜攬生意"
"金簪子掉在井裏頭","有你的隻是有你的"
"黃鷹抓住瞭鷂子的腳","扣瞭環瞭"
"丈八的燈颱","照見人傢，照不見自傢"
"韆裏搭長棚","沒有個不散的宴席"
"狗咬呂洞賓","不識好歹"
"推倒油瓶不扶","懶到傢瞭"
"引風吹火","費力不多"
"藉劍殺人","不露痕跡"
"坐山觀虎鬥","坐收其利"
"膊摺瞭往袖子裏藏","自掩苦處"
"蠟燭一生","損瞭自己照亮瞭彆人"
"蝸牛蓋房子","自己顧自己"
"母雞的理想","為瞭把骨糠"
"穿沒底的鞋","腳踏實地"
"屬蜘蛛的","滿肚子私(絲)"
"老鼠眼","看不遠"
"丟瞭西瓜撿芝麻","因小失大"
"王字與玉字相比","隻差一點"
"黑泥鰍鑽進金魚缸","獻醜"
"螞蚱扛大樹","自不量力"
"鞦後的螞蚱","蹦達不瞭幾天"
"麻雀生鵝蛋","硬逞能"
"臘月裏遇見狼","冷不防"
"尾巴掛掃帚","威風掃地"
"雞腳上栓螞蚱","飛不瞭你，蹦不瞭他"
"公雞頭上一塊肉","大小是個官(冠)"
"黃鼠狼剁瞭尾巴","難看在後頭"
"狐狸吵架","一派鬍(狐)言"
"猴子吃辣椒","抓耳撓腮"
"馬勺裏的蒼蠅","混飯吃"
"吃瓜子磕齣臭蟲來","什麼人(仁)都有"
"百靈鳥碰到鸚鵡","會唱的遇見會說的"
"掉瞭幾根毫毛","無傷大體"
"掉瞭箍的水桶","散瞭闆"
"掉瞭耳朵的瓦罐","提不起來；沒法提；提不得"
"掉進陷阱裏的野豬","張牙舞爪；死路一條"
"掉進陷阱裏的狗熊","熊到底瞭"
"公雞下蛋","沒指望"
"渴瞭打井","來不及瞭"
"蛤蟆坐在井裏","隻看見碗大的天"
"包河裏的藕","沒私(絲)"
"程嬰告密搜趙武","捨兒救孤"
"蜻蜓搖石柱","休想"
"水上浮萍","根莖不穩"
"沙灘上蓋房子","不牢靠"
"芝果樹","開花多，結果少"
"水牛鑽鼠洞","行不通"
"騎上虎背","欲罷不能"
"盤子裏生豆芽兒","紮不下根"
"張飛綉花","力不從心"
"九十歲老翁學武術","心有餘而力不足"
"挑著石頭爬泰山","沒有那麼容易"
"上滿發條的鍾錶","一分一秒不休息"
"穿丁鞋走泥路","步步紮實"
"沙攤上拉車","一步一個腳印"
"坐著飛機放聲唱","高歌猛進"
"楊令公的兒子","一個賽過一個"
"春筍破土","節節升"
"大姑娘做媒","先人後已"
"腦瓜門沒頭發","前途光明"
"四十裏地不換肩","麻雀下雞蛋"
"水牛過河","嶄露頭腳"
"小腳女人踢足球","尖端"
"飛機上點燈","高明"
"半夜三更放大炮","一鳴驚人"
"木匠帶枷","自作自受"
"大水淹瞭龍王廟","不認自傢人"
"八級工拜師傅","精益求精"
"冰糖煮黃蓮","同甘共苦"
"二十一天不齣雞","壞蛋"
"程咬金的斧頭","就這三下子"
"上鞋不用錐子","針(真)行"
"螃蟹過街","橫行霸道"
"窗戶邊吹喇叭","名聲在外"
"大姑娘坐轎","頭一迴"
"推小車上颱階","一步一個坎"
"跳上舞颱湊熱鬧","逢場作戲"
"提著馬燈下礦井","步步深入"
"銅鈑上釘鉚釘","一是一，二是二"
"過年娶媳婦","雙喜臨門"
"和尚訓道士","管得寬"
"秀纔遇到兵","有理講不清"
"猴子撈月亮","空忙一場"
"瞎子戴眼鏡","裝飾"
"趕鴨子上架","吃力不討好"
"小和尚念經","有口無心"
"小蔥拌豆腐","一清二白"
"歪嘴講故事","斜(邪)說"
"王八吃年糕","鐵瞭心"
"外甥打燈籠","照舊(舅)"
"肉包子打狗","有去無迴"
"韆裏送鵝毛","禮輕情意重"
"騎驢看唱本","走著瞧"
"潑齣去的水","收不迴"
"薑太公釣魚","願者上鈎"
"鐵打的公雞","一毛不拔"
"高山上敲鼓","四麵聞名(鳴)"
"釘頭碰釘子","硬碰硬"
"竹筍齣土","節節高"
"菜刀切豆腐","兩麵光"
"牆上茅草","隨風兩邊倒"
"嫩竹扁擔挑起大籮筐","後身可畏"
"魚鷹下洞庭","大有作為"
"房梁上掛暖壺","高水平"
"鐵匠鋪的買賣","樣樣都過得硬"
"獨臂將軍","有一手"
"挑水騎單車","本領高"
"電綫杆上耍把戲","武藝高"
"比賽場上的運動員","爭先恐後"
"馬上耍雜技","藝高膽大"
"砌牆的磚頭","後來居上"
"鋼闆上打鉚釘","毫不動搖"
"老瞭的虎","雄心還在"
"三伏天的高粱杆","節節上升"
"瞎子進學堂","不認書(輸)"
"螞蟻爬樹","不怕高"
"老大娘找飛機","望遠瞧"
"八十歲老婆婆綉花","老來發憤"
"十裏高山望平地","要看遠景"
"二尺長的吹火筒","隻有一個心眼"
"熗麵饅頭送閨女","實心實意"
"蜜蜂釀蜜","不為自己"
"提著燈籠砍柴","明砍"
"泰山頂上觀日齣","高瞻遠矚"
"唱歌不看麯本","離譜"
"擔著鬍子過河","謙虛過度"
"齣太陽下暴雨","假情(晴)"
"老太太吃湯圓","囫圇吞"
"魯班門前耍斧","有眼無珠"
